entity_id,claim_id,rank,property_id,datatype,datavalue,sampling_weight_vb,sampling_weight
Q20451714,Q20451714$49CB1F7A-FC51-41CF-81EA-3EC1EC81AB5D,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143
Q1655953,Q1655953$CAAADB1F-5DCA-4492-8707-EEAAAE8C7035,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143
Q12692647,Q12692647$4C0066D0-8B10-433F-88F1-6AA6B01EE058,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143
Q7589682,Q7589682$2dd0b4b8-4b51-8876-1a25-4adf01ccfbf4,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1133228, 'id': 'Q1133228'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143
Q9586474,Q9586474$814EF1BE-6ACE-4627-9EF1-D0C4A24DFE3F,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143
Q738719,Q738719$a71d1897-41d7-fb3b-0841-e59f8928e23d,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 9640723, 'id': 'Q9640723'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143
Q12693573,Q12693573$B0E9E55D-4573-49FB-BD6D-B310DB08062C,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143
Q738719,Q738719$fb007a7e-46e5-7ed4-0a14-aa435718c2b2,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1070669, 'id': 'Q1070669'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143
Q738719,Q738719$0cf4ae06-4c7e-0f50-af4d-3d9260e34acf,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143
Q20447996,Q20447996$A2E47D0B-39C8-4EEB-A959-8D2BC9DB9EF1,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143
Q12694528,Q12694528$72806067-0B9A-4F12-9137-D13CCD536437,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143
Q18472416,Q18472416$6BC40A45-FCD0-4492-9590-FD4D73F96634,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143
Q16144811,Q16144811$32D66FD9-4A2C-4A24-A5EF-78E97111E449,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143
Q9585765,Q9585765$B833EDD5-39C2-433E-B081-B2DDB824F843,normal,P366,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1571929, 'id': 'Q1571929'}, 'type': 'wikibase-entityid'}",37|14,2.642857142857143
Q5260269,Q5260269$50AA9C5F-BEAA-4F3A-A17D-CCFF552F13D2,normal,P421,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 6940, 'id': 'Q6940'}, 'type': 'wikibase-entityid'}",40|15,2.6666666666666665
Q4259432,Q4259432$2D194B55-40A5-412D-9E7D-66D0BB6C76A2,normal,P421,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 6940, 'id': 'Q6940'}, 'type': 'wikibase-entityid'}",40|15,2.6666666666666665
Q3887427,q3887427$ff9d1425-4834-9635-c0cf-8264efc128ae,normal,P421,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 7056, 'id': 'Q7056'}, 'type': 'wikibase-entityid'}",40|15,2.6666666666666665
Q657005,Q657005$e6b8a025-54d9-45cb-ada7-4147cc4f1577,normal,P421,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 6655, 'id': 'Q6655'}, 'type': 'wikibase-entityid'}",40|15,2.6666666666666665
Q160556,Q160556$FC302C04-1A7A-47C6-8B80-F4CB43FB6F47,normal,P421,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 6723, 'id': 'Q6723'}, 'type': 'wikibase-entityid'}",40|15,2.6666666666666665
Q2902212,Q2902212$E1F37FAE-2E83-4461-9872-72250D9A74E5,normal,P421,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 6574, 'id': 'Q6574'}, 'type': 'wikibase-entityid'}",40|15,2.6666666666666665
Q794549,Q794549$3c7953e4-4664-26ce-a470-9fed220a56e4,normal,P421,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 5762, 'id': 'Q5762'}, 'type': 'wikibase-entityid'}",40|15,2.6666666666666665
Q657005,Q657005$94F2F8FD-4052-43CB-B95D-4FA3075E6AC5,normal,P421,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 6723, 'id': 'Q6723'}, 'type': 'wikibase-entityid'}",40|15,2.6666666666666665
Q868994,Q868994$c6d60a9c-40ce-5ce9-30fa-4efc94fb5a27,normal,P421,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 5385, 'id': 'Q5385'}, 'type': 'wikibase-entityid'}",40|15,2.6666666666666665
Q1655471,Q1655471$9d4833bd-4a7e-eb48-ac96-614ca35aa124,normal,P421,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 5762, 'id': 'Q5762'}, 'type': 'wikibase-entityid'}",40|15,2.6666666666666665
Q6435461,Q6435461$7B67CCB2-7B3B-44E4-9A89-B84DF4EF91B0,normal,P421,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 3134980, 'id': 'Q3134980'}, 'type': 'wikibase-entityid'}",40|15,2.6666666666666665
Q27253,Q27253$AB4D9C51-F292-4F5C-A068-FDEE032BB105,normal,P421,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 6760, 'id': 'Q6760'}, 'type': 'wikibase-entityid'}",40|15,2.6666666666666665
Q3274227,Q3274227$b7c3c5e7-47e9-dc08-5f4a-df4ee2f74272,normal,P421,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 6760, 'id': 'Q6760'}, 'type': 'wikibase-entityid'}",40|15,2.6666666666666665
Q676576,Q676576$5011f051-4a75-5e31-0970-3ede5b96d8ec,normal,P421,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 5390, 'id': 'Q5390'}, 'type': 'wikibase-entityid'}",40|15,2.6666666666666665
