entity_id,claim_id,rank,property_id,datatype,datavalue,sampling_weight_vb,sampling_weight
Q974436,Q974436$DC3BA2FC-E018-4690-8AB4-5A8BA51BCDA6,normal,P6546,quantity,"{'value': {'amount': '+241', 'unit': '1'}, 'type': 'quantity'}",1443|7,206.14285714285714
Q5549240,Q5549240$7851AD1B-7936-432A-B80A-8ED3DA2E6E75,normal,P6546,quantity,"{'value': {'amount': '+27', 'unit': '1'}, 'type': 'quantity'}",1443|7,206.14285714285714
Q5606279,Q5606279$FD309331-7AA7-4CBA-BADC-990C1A3E68A3,normal,P6546,quantity,"{'value': {'amount': '+783', 'unit': '1'}, 'type': 'quantity'}",1443|7,206.14285714285714
Q981614,Q981614$6A75597D-1298-48A4-B860-B3EA30C98B4B,normal,P6546,quantity,"{'value': {'amount': '+4', 'unit': '1'}, 'type': 'quantity'}",1443|7,206.14285714285714
Q5115494,Q5115494$1A18996E-9E94-4077-A8DB-992BD5B99715,normal,P6546,quantity,"{'value': {'amount': '+2', 'unit': '1'}, 'type': 'quantity'}",1443|7,206.14285714285714
Q3343699,Q3343699$D962A08A-B749-436F-ABC0-E257F0E09B30,normal,P6546,quantity,"{'value': {'amount': '+72', 'unit': '1'}, 'type': 'quantity'}",1443|7,206.14285714285714
Q21064031,Q21064031$281B5873-2F74-42C5-807C-D048D4A49FD4,normal,P6546,quantity,"{'value': {'amount': '+228', 'unit': '1'}, 'type': 'quantity'}",1443|7,206.14285714285714
Q974436,Q974436$C722EF13-5798-40AA-93AF-E67D58E0A040,normal,P6545,quantity,"{'value': {'amount': '+125', 'unit': '1'}, 'type': 'quantity'}",1443|8,180.375
Q5549240,Q5549240$66D2F962-30D9-4D85-9BC5-06EE885F3F13,normal,P6545,quantity,"{'value': {'amount': '+35', 'unit': '1'}, 'type': 'quantity'}",1443|8,180.375
Q5606279,Q5606279$6B134674-D616-4039-87AD-CF2B7BE74938,normal,P6545,quantity,"{'value': {'amount': '+16', 'unit': '1'}, 'type': 'quantity'}",1443|8,180.375
Q981614,Q981614$2F73588E-B131-4CF8-AE9B-6CEEC81232C2,normal,P6545,quantity,"{'value': {'amount': '+0', 'unit': '1'}, 'type': 'quantity'}",1443|8,180.375
Q5115494,Q5115494$E4E70065-DF05-447E-BC23-A0857C3CE782,normal,P6545,quantity,"{'value': {'amount': '+2', 'unit': '1'}, 'type': 'quantity'}",1443|8,180.375
Q3343699,Q3343699$C0B4D95A-FEB3-43CA-A6B7-253311229DBB,normal,P6545,quantity,"{'value': {'amount': '+66', 'unit': '1'}, 'type': 'quantity'}",1443|8,180.375
Q21064031,Q21064031$6B61ABA3-FD8C-42B3-828B-B8530B667CEE,normal,P6545,quantity,"{'value': {'amount': '+103', 'unit': '1'}, 'type': 'quantity'}",1443|8,180.375
Q1858657,Q1858657$AE1A1EA8-D625-4938-85E7-318B49CD466A,normal,P6545,quantity,"{'value': {'amount': '+14', 'unit': '1'}, 'type': 'quantity'}",1443|8,180.375
Q22003437,Q22003437$5fdfa62b-47a7-c354-ce49-1d9674acaf9a,normal,P607,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 362, 'id': 'Q362'}, 'type': 'wikibase-entityid'}",1449|8,181.125
Q55433876,Q55433876$c1f64a3b-4940-784d-9421-74976567064e,normal,P607,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 21496097, 'id': 'Q21496097'}, 'type': 'wikibase-entityid'}",1449|8,181.125
Q4719260,Q4719260$47BACBC3-B9D5-4B07-B14B-C012C98A0D4C,normal,P607,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 361, 'id': 'Q361'}, 'type': 'wikibase-entityid'}",1449|8,181.125
Q6662530,Q6662530$20A135A4-07A0-454C-9EEA-F0AFE0B9EE04,normal,P607,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 362, 'id': 'Q362'}, 'type': 'wikibase-entityid'}",1449|8,181.125
Q18387508,Q18387508$0f5b8292-4cf3-4df7-8058-409b13aa6e24,normal,P607,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 362, 'id': 'Q362'}, 'type': 'wikibase-entityid'}",1449|8,181.125
Q5336160,Q5336160$0545AEE6-0692-4763-AF66-5C9F935788A0,normal,P607,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 362, 'id': 'Q362'}, 'type': 'wikibase-entityid'}",1449|8,181.125
Q16082104,Q16082104$e326de28-4a99-3daa-2bc1-b5940796e634,normal,P607,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 362, 'id': 'Q362'}, 'type': 'wikibase-entityid'}",1449|8,181.125
Q2662383,Q2662383$ADF73963-6EC6-4088-886F-96F6CF6A0DB6,normal,P607,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 362, 'id': 'Q362'}, 'type': 'wikibase-entityid'}",1449|8,181.125
Q6378938,Q6378938$EB5E8F86-7660-4928-A6C5-C5753610A13F,normal,P6544,quantity,"{'value': {'amount': '+36', 'unit': '1'}, 'type': 'quantity'}",1455|8,181.875
Q15458435,Q15458435$4B1EC677-6D2E-4FCB-9372-50B8662F628F,normal,P6544,quantity,"{'value': {'amount': '+13', 'unit': '1'}, 'type': 'quantity'}",1455|8,181.875
Q961736,Q961736$2D3198E8-2007-403F-86E7-CE4A95B6E1F2,normal,P6544,quantity,"{'value': {'amount': '+18', 'unit': '1'}, 'type': 'quantity'}",1455|8,181.875
Q5606279,Q5606279$5F13DAC6-BD31-4858-9338-D2D679A8660C,normal,P6544,quantity,"{'value': {'amount': '+20', 'unit': '1'}, 'type': 'quantity'}",1455|8,181.875
Q4910177,Q4910177$F69B20B8-2CDF-4FCA-9422-E45277A0717F,normal,P6544,quantity,"{'value': {'amount': '+22', 'unit': '1'}, 'type': 'quantity'}",1455|8,181.875
Q1081656,Q1081656$5E4D767D-F4E7-4754-8463-646884348429,normal,P6544,quantity,"{'value': {'amount': '+432', 'unit': '1'}, 'type': 'quantity'}",1455|8,181.875
Q816509,Q816509$B890870A-9F41-4E0C-A91B-1CFE32D04D8E,normal,P6544,quantity,"{'value': {'amount': '+6', 'unit': '1'}, 'type': 'quantity'}",1455|8,181.875
Q2832901,Q2832901$7A404DDA-828D-4365-A747-D5303B48D0F4,normal,P6544,quantity,"{'value': {'amount': '+36', 'unit': '1'}, 'type': 'quantity'}",1455|8,181.875
Q21078235,Q21078235$d261148d-4c4f-474a-b985-9ab78539e94c,normal,P119,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 19461932, 'id': 'Q19461932'}, 'type': 'wikibase-entityid'}",1461|8,182.625
Q301422,Q301422$49124d6f-38e0-41ec-9ed8-e88b887dd113,normal,P119,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 2000666, 'id': 'Q2000666'}, 'type': 'wikibase-entityid'}",1461|8,182.625
Q1571594,Q1571594$435bb3c2-d576-4686-b187-0d9b3a5dedda,normal,P119,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 580, 'id': 'Q580'}, 'type': 'wikibase-entityid'}",1461|8,182.625
Q20821349,Q20821349$9f0ea229-4c5e-904e-4f5a-beb603e55b3f,normal,P119,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 11691249, 'id': 'Q11691249'}, 'type': 'wikibase-entityid'}",1461|8,182.625
